1678814001.7613204, 358.2587, 358.4839, 87.6929
1678814002.2713373, 358.2807, 358.5333, 87.7423
1678814002.785251, 358.3356, 358.4235, 87.7039
1678814003.2952785, 358.4400, 358.4564, 87.8082
1678814003.8091958, 358.5004, 358.5223, 87.8961
1678814004.3192706, 358.3576, 358.4729, 87.7588
1678814004.8332243, 358.3576, 358.5114, 87.7808
1678814005.342971, 358.1653, 358.3850, 87.5610
1678814005.856822, 358.3795, 358.4564, 87.7588
1678814006.3708274, 358.4839, 358.5828, 87.9291
1678814006.88065, 358.5114, 358.5388, 87.9126
1678814007.3952446, 358.3136, 358.4839, 87.7313
1678814007.9051275, 358.3191, 358.3905, 87.6764
1678814008.4187243, 358.1378, 358.5388, 87.6379
1678814008.9291813, 358.3740, 358.5114, 87.7918
1678814009.4431922, 358.3411, 358.4345, 87.7203
1678814009.956658, 358.3576, 358.5004, 87.7753
1678815638.4759982, 358.1708, 358.2971, 87.4951
1678815638.7327352, 358.5498, 358.6157, 88.0005
1678815638.989408, 358.5388, 358.5828, 87.9675
1678814804.619729, 358.4509, 358.5553, 87.8851
1678814805.1334436, 358.2477, 358.1928, 87.4841
1678815075.0431669, 358.4839, 358.7146, 88.0115
1678815075.299868, 358.2312, 358.3081, 87.5501
